Gene_A	Gene_B	Score
VAX1	LHX2	0.47
VAX1	FOXE1	0.57
PRDM13	TLX1	0.407
PRDM13	HOXD13	0.417
FAM72B	PBK	0.421
FAM72B	KIF2C	0.491
FAM72B	TTK	0.604
FAM72B	FAM72D	0.64
FAM72B	FAM72C	0.999
TTK	FAM72C	0.463
TTK	FAM72D	0.532
TTK	GTSE1	0.572
TTK	RAD54L	0.624
TTK	KIF18B	0.662
TTK	MCM10	0.735
TTK	CDC45	0.787
TTK	CDCA3	0.858
TTK	KIF4A	0.921
TTK	HJURP	0.929
TTK	DEPDC1	0.931
TTK	KIF2C	0.955
TTK	PBK	0.969
TTK	CDC20	0.99
COL11A1	COL17A1	0.487
TLX1	OTX2	0.409
CSAG1	ACTL8	0.414
CSAG1	PRAME	0.526
CSAG1	MAGEA3	0.98
GABRA3	GABRR1	0.692
GABRA3	GABRG2	0.762
GABRA3	GABRQ	0.771
CLCA4	CLCA2	0.917
CLCA2	CALML5	0.48
CLCA2	KRT6A	0.501
FOXD3	HOXD13	0.419
FOXD3	ZIC2	0.451
FOXD3	OTX2	0.466
FOXD3	PAX7	0.578
FOXD3	TFAP2A	0.621
FOXD3	PITX2	0.622
FOXD3	PAX6	0.659
FOXD3	PAX3	0.731
CACNA1B	IL1RAPL2	0.411
CACNA1B	GNG4	0.712
CACNA1B	CALML5	0.777
ZYG11A	PRAME	0.618
KCNG1	NPSR1	0.452
RAB3B	CALML5	0.425
RAB3B	RIMS2	0.686
RAD54L	DEPDC1	0.43
RAD54L	KIF18B	0.555
RAD54L	KIF4A	0.599
RAD54L	HJURP	0.616
RAD54L	GTSE1	0.619
RAD54L	PBK	0.647
RAD54L	CDC20	0.685
RAD54L	KIF2C	0.691
RAD54L	CDCA3	0.698
RAD54L	MCM10	0.734
RAD54L	CDC45	0.856
KIF2C	FAM72D	0.437
KIF2C	FAM72C	0.453
KIF2C	MCM10	0.611
KIF2C	GTSE1	0.754
KIF2C	DEPDC1	0.83
KIF2C	CDC45	0.892
KIF2C	PBK	0.909
KIF2C	CDCA3	0.93
KIF2C	HJURP	0.938
KIF2C	KIF4A	0.947
KIF2C	KIF18B	0.983
KIF2C	CDC20	0.995
CDC20	FAM72D	0.435
CDC20	MCM10	0.691
CDC20	GTSE1	0.711
CDC20	DEPDC1	0.761
CDC20	KIF18B	0.792
CDC20	HJURP	0.925
CDC20	KIF4A	0.941
CDC20	CDC45	0.946
CDC20	PBK	0.959
CDC20	CDCA3	0.981
GJB3	TMPRSS4	0.482
GJB3	KRT6A	0.623
GJB3	GJB6	0.777
GJB3	GJB2	0.875
UGT1A7	SLCO6A1	0.413
UGT1A7	ADH7	0.71
LHX2	DMRTA2	0.408
LHX2	TFAP2A	0.41
LHX2	ZIC2	0.445
LHX2	POU4F1	0.469
LHX2	SP8	0.52
LHX2	FEZF1	0.554
LHX2	PAX6	0.576
SLC18A3	POU4F1	0.423
KIF4A	GTSE1	0.664
KIF4A	MCM10	0.706
KIF4A	CDC45	0.73
KIF4A	DEPDC1	0.797
KIF4A	KIF18B	0.901
KIF4A	HJURP	0.918
KIF4A	CDCA3	0.927
KIF4A	PBK	0.938
FOXE1	PAX7	0.406
FOXE1	TFAP2A	0.419
PAX7	TFAP2A	0.441
PAX7	ZIC2	0.48
PAX7	PAX3	0.907
ACTL8	CSAG3	0.418
PADI3	PADI1	0.436
ZIC2	TFAP2A	0.4
ZIC2	PAX3	0.416
ZIC2	FOXD1	0.442
ZIC2	PAX6	0.494
ZIC2	HOXD13	0.523
ZIC2	FOXL2	0.597
ZIC2	HOXA13	0.615
ZIC2	OTX2	0.684
KLK6	SERPINB12	0.448
KLK6	KLK8	0.566
POU4F1	PAX3	0.46
POU4F1	OTX2	0.497
POU4F1	PAX6	0.659
LGALS7	KRT6A	0.536
LGALS7	CALML5	0.548
LGALS7	SBSN	0.551
NR0B1	OTX2	0.414
NR0B1	FOXL2	0.67
NR0B1	DMRT1	0.745
MAGEB2	MAGEA3	0.413
KRT6A	KRT3	0.437
KRT6A	KLK8	0.445
KRT6A	COL17A1	0.451
KRT6A	SPRR2A	0.498
KRT6A	SERPINB5	0.544
KRT6A	S100A2	0.676
CALML5	SERPINB5	0.406
CALML5	GPX2	0.408
CALML5	SLCO6A1	0.518
CALML5	SBSN	0.554
CALML5	PNCK	0.559
CALML5	STRA6	0.794
PDX1	ONECUT2	0.463
PDX1	PAX6	0.835
NPSR1	GNG4	0.573
DMRT1	SOHLH1	0.619
DMRT1	FOXL2	0.837
NKX3-2	DLX5	0.593
NKX3-2	DLX6	0.598
SERPINB12	SBSN	0.508
SERPINB12	KPRP	0.659
SERPINB12	CASP14	0.731
SERPINB5	TMPRSS4	0.409
SERPINB5	S100A2	0.496
SERPINB5	COL17A1	0.518
GJB2	S100A2	0.428
GJB2	USH1G	0.507
GJB2	SPRR2A	0.565
GJB2	TMPRSS4	0.665
GJB2	GJB6	0.99
SHOX2	FOXL2	0.415
SHOX2	IRX4	0.529
SHOX2	HOXC9	0.541
SHOX2	HOXD13	0.653
GPX2	HMGA2	0.407
GPX2	SLCO6A1	0.65
KRTAP19-1	KRTAP4-1	0.497
PAX3	HOXA13	0.514
PAX3	PITX2	0.537
PAX3	TFAP2A	0.595
HOXD13	IRX4	0.413
HOXD13	OTX2	0.421
HOXD13	PAX6	0.446
HOXD13	PITX2	0.459
HOXD13	HOXD12	0.504
HOXD13	FOXL2	0.533
SPRR2A	CASP14	0.474
SPRR2A	LCE1C	0.739
SPRR2A	SPRR2F	0.925
KRT34	TMEM171	0.404
KRT34	SERPINB7	0.437
WDR72	COL17A1	0.553
FAM72D	PBK	0.405
FAM72D	FAM72C	0.626
HOXD12	HOXA13	0.451
CASP14	SPRR2F	0.4
CASP14	BCL2L10	0.48
CASP14	SBSN	0.49
CASP14	LCE1C	0.5
CASP14	KPRP	0.548
SOHLH1	FOXL2	0.529
CDC45	DEPDC1	0.422
CDC45	KIF18B	0.457
CDC45	GTSE1	0.633
CDC45	CDCA3	0.765
CDC45	PBK	0.874
CDC45	HJURP	0.882
CDC45	MCM10	0.999
PNCK	KRT3	0.448
SP8	DLX5	0.412
SP8	PAX6	0.6
GABRG2	GABRR1	0.711
GABRG2	GABRQ	0.789
DEPDC1	GTSE1	0.515
DEPDC1	KIF18B	0.592
DEPDC1	CDCA3	0.683
DEPDC1	MCM10	0.764
DEPDC1	HJURP	0.832
DEPDC1	PBK	0.849
GABRR1	GABRQ	0.627
KRT3	PAX6	0.479
HJURP	MCM10	0.631
HJURP	CDCA3	0.837
HJURP	KIF18B	0.864
HJURP	GTSE1	0.889
HJURP	PBK	0.896
HJURP	H4C5	0.902
GTSE1	PBK	0.524
GTSE1	MCM10	0.582
GTSE1	KIF18B	0.625
GTSE1	CDCA3	0.816
TMPRSS4	GJB6	0.508
SPRR2F	LCE1C	0.684
MCM10	KIF18B	0.476
MCM10	CDCA3	0.686
MCM10	PBK	0.734
HOXC9	HOXC11	0.561
RIMS2	SYT14	0.428
DLX6	DLX5	0.939
PBK	FAM72C	0.422
PBK	KIF18B	0.622
PBK	CDCA3	0.946
CDCA3	KIF18B	0.764
H2BC8	H2BC17	0.903
H2BC8	H2BC9	0.914
H2BC8	H3C2	0.927
H2BC8	H3C8	0.928
H2BC8	H3C7	0.964
H2BC8	H4C5	0.983
PRAME	CSAG3	0.448
PRAME	MAGEA3	0.777
STRA6	OTX2	0.421
MAGEA3	CSAG3	0.721
KPRP	S100A2	0.487
KPRP	LCE1C	0.527
H2BC17	H3C2	0.675
H2BC17	H3C8	0.683
H2BC17	H3C7	0.692
H2BC17	H4C5	0.967
H2BC17	H2BC9	0.971
H2BC9	H3C2	0.581
H2BC9	H3C8	0.669
H2BC9	H3C7	0.703
H2BC9	H4C5	0.939
FOXD1	PAX6	0.404
IRX4	PITX2	0.425
H3C7	H3C8	0.941
H3C7	H3C2	0.968
H3C7	H4C5	0.993
H3C8	H3C2	0.961
H3C8	H4C5	0.988
H4C5	H3C2	0.99
PAX6	OTX2	0.479
PAX6	FOXL2	0.506
PAX6	TFAP2A	0.555
PAX6	PITX2	0.605
PITX2	OTX2	0.411
PITX2	TFAP2A	0.701
HOXA13	FOXL2	0.625
DLX5	TFAP2A	0.472
OTX2	TFAP2A	0.41
